#options: 2560x1440 fps=30/1 timebase=1/30 bitdepth=8 cabac=1 ref=1 deblock=1:0:0 analyse=0x1:0 me=dia subme=2 psy=1 psy_rd=1.00:0.00 mixed_ref=0 me_range=16 chroma_me=1 trellis=0 8x8dct=0 cqm=0 deadzone=21,11 fast_pskip=1 chroma_qp_offset=0 threads=18 lookahead_threads=6 sliced_threads=0 nr=0 decimate=1 interlaced=0 bluray_compat=0 constrained_intra=0 bframes=3 b_pyramid=2 b_adapt=1 b_bias=0 direct=1 weightb=1 open_gop=0 weightp=2 keyint=250 keyint_min=25 scenecut=40 intra_refresh=0 rc_lookahead=40 rc=abr mbtree=1 bitrate=2243 ratetol=1.0 qcomp=0.60 qpmin=0 qpmax=69 qpstep=4 ip_ratio=1.40 aq=1:1.00
in:33 out:34 type:b dur:2 cpbdur:2 q:52.35 aq:51.00 tex:0 mv:0 misc:624 imb:0 pmb:0 smb:14400 d:- ref:0 ;
in:38 out:35 type:P dur:2 cpbdur:2 q:48.77 aq:42.00 tex:1 mv:54 misc:665 imb:0 pmb:5 smb:14395 d:- ref:0 ;
in:36 out:36 type:B dur:2 cpbdur:2 q:50.17 aq:51.00 tex:0 mv:0 misc:640 imb:0 pmb:0 smb:14400 d:- ref:0 ;
in:35 out:37 type:b dur:2 cpbdur:2 q:50.87 aq:51.00 tex:0 mv:0 misc:624 imb:0 pmb:0 smb:14400 d:- ref:0 ;
in:37 out:38 type:b dur:2 cpbdur:2 q:49.47 aq:51.00 tex:0 mv:0 misc:624 imb:0 pmb:0 smb:14400 d:- ref:0 ;
in:42 out:39 type:P dur:2 cpbdur:2 q:46.46 aq:40.00 tex:1 mv:20 misc:643 imb:0 pmb:2 smb:14398 d:- ref:0 ;
in:40 out:40 type:B dur:2 cpbdur:2 q:47.62 aq:49.00 tex:0 mv:0 misc:640 imb:0 pmb:0 smb:14400 d:- ref:0 ;
in:39 out:41 type:b dur:2 cpbdur:2 q:48.19 aq:51.00 tex:0 mv:0 misc:624 imb:0 pmb:0 smb:14400 d:- ref:0 ;
in:41 out:42 type:b dur:2 cpbdur:2 q:47.04 aq:50.00 tex:0 mv:0 misc:624 imb:0 pmb:0 smb:14400 d:- ref:0 ;
in:46 out:43 type:P dur:2 cpbdur:2 q:44.61 aq:40.36 tex:59 mv:103 misc:686 imb:0 pmb:11 smb:14389 d:- ref:0 ;
in:44 out:44 type:B dur:2 cpbdur:2 q:45.54 aq:47.00 tex:0 mv:0 misc:640 imb:0 pmb:0 smb:14400 d:- ref:0 ;
in:43 out:45 type:b dur:2 cpbdur:2 q:46.00 aq:49.00 tex:0 mv:0 misc:624 imb:0 pmb:0 smb:14400 d:- ref:0 ;
in:45 out:46 type:b dur:2 cpbdur:2 q:45.07 aq:49.00 tex:0 mv:0 misc:624 imb:0 pmb:0 smb:14400 d:- ref:0 ;
in:49 out:47 type:P dur:2 cpbdur:2 q:42.96 aq:35.64 tex:384 mv:135 misc:769 imb:0 pmb:27 smb:14373 d:- ref:0 ;
in:47 out:48 type:B dur:2 cpbdur:2 q:44.06 aq:46.00 tex:0 mv:0 misc:640 imb:0 pmb:0 smb:14400 d:- ref:0 ;
in:48 out:49 type:b dur:2 cpbdur:2 q:43.51 aq:47.00 tex:0 mv:0 misc:624 imb:0 pmb:0 smb:14400 d:- ref:0 ;
in:53 out:50 type:P dur:2 cpbdur:2 q:41.93 aq:33.02 tex:333 mv:89 misc:914 imb:0 pmb:41 smb:14359 d:- ref:0 ;
in:51 out:51 type:B dur:2 cpbdur:2 q:42.45 aq:44.00 tex:0 mv:0 misc:640 imb:0 pmb:0 smb:14400 d:- ref:0 ;
in:50 out:52 type:b dur:2 cpbdur:2 q:42.71 aq:46.00 tex:0 mv:0 misc:624 imb:0 pmb:0 smb:14400 d:- ref:0 ;
in:52 out:53 type:b dur:2 cpbdur:2 q:42.19 aq:46.00 tex:0 mv:0 misc:624 imb:0 pmb:0 smb:14400 d:- ref:0 ;
in:57 out:54 type:P dur:2 cpbdur:2 q:40.66 aq:33.18 tex:2738 mv:308 misc:1682 imb:0 pmb:188 smb:14212 d:- ref:0 ;
